dataId,trsmDy,trmnId,trsmUtcTime,trsmYear,trsmMt,trsmTm,trsmMs,vhcleLot,vhcleLat,vhcleEvt,trmnTypeCd,gpsUtcTime,vhcleDrc,vhcleSped,trnsmStatCd,lcdtRevisnStatCd,vhcleTypeCd,rgtrId,regDt,addr
PVDL-IDV1257418510-1722570898-5036,2,IDV1257418510,1722575944108.0,2024,08,141904,108,127.008556,37.567304,36.0,001,1722575944009.0,210.57500000000002,0.0,2,0,9228,v2x,2024-08-02 05:19:04,중구
PVDL-IDV1257418320-1722574547-1398,2,IDV1257418320,1722575944081.0,2024,08,141904,081,126.8780952,37.5815228,39.0,001,1722575944001.0,239.9875,0.0,7,1,9228,v2x,2024-08-02 05:19:04,마포구
PVDL-IDV1257418180-1722575707-240,2,IDV1257418180,1722575944092.0,2024,08,141904,092,126.9795631,37.5759659,-1.0,001,1722575944004.0,263.9875,9.0,1,2,9228,v2x,2024-08-02 05:19:04,종로구
PVDL-IDV1257416440-1722548316-27624,2,IDV1257416440,1722575944162.0,2024,08,141904,162,127.033963,37.529135,27.0,001,1722575944000.0,85.85000000000001,29.0,1,0,9228,v2x,2024-08-02 05:19:04,강남구
PVDL-IDV1257416350-1722543968-31966,2,IDV1257416350,1722575944157.0,2024,08,141904,157,126.875324,37.546958,48.0,001,1722575944005.0,87.9375,0.0,0,0,9228,v2x,2024-08-02 05:19:04,양천구
PVDL-IDV1257416210-1722549257-26683,2,IDV1257416210,1722575944361.0,2024,08,141904,361,127.063314,37.480609,39.0,001,1722575944000.0,316.26250000000005,0.0,7,0,9228,v2x,2024-08-02 05:19:04,강남구
PVDL-IDV1257416160-1722572409-3524,2,IDV1257416160,1722575944080.0,2024,08,141904,080,127.0297145,37.6173342,46.0,001,1722575944001.0,160.9875,0.0,1,2,9228,v2x,2024-08-02 05:19:04,강북구
PVDL-IDV1257416060-1722549801-26132,2,IDV1257416060,1722575944284.0,2024,08,141904,284,127.062414,37.496312,18.0,001,1722575944003.0,336.57500000000005,36.0,1,0,9228,v2x,2024-08-02 05:19:04,강남구
PVDL-IDV1257414390-1722571768-4165,2,IDV1257414390,1722575944054.0,2024,08,141904,054,127.019112,37.594393,52.0,001,1722575944008.0,42.3125,40.0,7,0,9228,v2x,2024-08-02 05:19:04,성북구
PVDL-IDV1257414380-1722572847-3086,2,IDV1257414380,1722575944055.0,2024,08,141904,055,126.985005,37.57623,44.0,001,1722575944006.0,58.737500000000004,0.0,2,0,9228,v2x,2024-08-02 05:19:04,종로구
PVDL-IDV1257413910-1722568897-7037,2,IDV1257413910,1722575944352.0,2024,08,141904,352,126.86513,37.558757,30.0,001,1722575944003.0,43.400000000000006,0.0,7,0,9228,v2x,2024-08-02 05:19:04,강서구
PVDL-IDV1257413890-1722566748-9186,2,IDV1257413890,1722575944106.0,2024,08,141904,106,127.026031,37.500768,77.0,001,1722575944006.0,337.83750000000003,0.0,2,0,9228,v2x,2024-08-02 05:19:04,서초구
PVDL-IDV1257412820-1722573627-2314,2,IDV1257412820,1722575944070.0,2024,08,141904,070,127.0315769,37.5780243,23.0,001,1722575944007.0,74.9875,43.0,2,2,9228,v2x,2024-08-02 05:19:04,동대문구
PVDL-IDV1257412800-1722575073-866,2,IDV1257412800,1722575944060.0,2024,08,141904,060,126.881505,37.583496,25.0,001,1722575944001.0,130.76250000000002,1.0,7,0,9228,v2x,2024-08-02 05:19:04,마포구
PVDL-IDV1257412760-1722539120-36814,2,IDV1257412760,1722575944124.0,2024,08,141904,124,126.9778142,37.5702547,38.0,001,1722575944008.0,274.9875,0.0,2,1,9228,v2x,2024-08-02 05:19:04,종로구
PVDL-IDV1257412750-1722547427-28507,2,IDV1257412750,1722575944177.0,2024,08,141904,177,126.961293,37.558694,61.0,001,1722575944009.0,52.1375,15.0,7,0,9228,v2x,2024-08-02 05:19:04,마포구
